Sensor,Date,Volume,Event Label,St Label,Lat,Lng
S125,10/3/2018,27018,October Wed 2018,WB 94 from dwtn,44.99888,-93.28266
S137,10/3/2018,35116,October Wed 2018,EB 94 to dwtn,44.99898,-93.28297
S2,10/3/2018,0,October Wed 2018,SB 35W from dwtn,44.96259,-93.26997
S285,10/3/2018,74299,October Wed 2018,WB 394 from dwtn,44.97002,-93.30761
S286,10/3/2018,68473,October Wed 2018,EB 394 to dwtn,44.96977,-93.30786
S553,10/3/2018,62121,October Wed 2018,WB 94 to dwtn,44.96436,-93.23804
S554,10/3/2018,79477,October Wed 2018,EB 94 from dwtn,44.96422,-93.23944
S569,10/3/2018,63958,October Wed 2018,NB 35W from dwtn,44.99116,-93.23629
S582,10/3/2018,63701,October Wed 2018,SB 35W to dwtn,44.99115,-93.23659
S64,10/3/2018,0,October Wed 2018,NB 35W to dwtn,44.96239,-93.26959
S125,9/9/2018,20129,Vikings Opener,WB 94 from dwtn,44.99888,-93.28266
S137,9/9/2018,24578,Vikings Opener,EB 94 to dwtn,44.99898,-93.28297
S2,9/9/2018,0,Vikings Opener,SB 35W from dwtn,44.96259,-93.26997
S285,9/9/2018,48508,Vikings Opener,WB 394 from dwtn,44.97002,-93.30761
S286,9/9/2018,53102,Vikings Opener,EB 394 to dwtn,44.96977,-93.30786
S553,9/9/2018,52381,Vikings Opener,WB 94 to dwtn,44.96436,-93.23804
S554,9/9/2018,58174,Vikings Opener,EB 94 from dwtn,44.96422,-93.23944
S569,9/9/2018,46199,Vikings Opener,NB 35W from dwtn,44.99116,-93.23629
S582,9/9/2018,47704,Vikings Opener,SB 35W to dwtn,44.99115,-93.23659
S64,9/9/2018,0,Vikings Opener,NB 35W to dwtn,44.96239,-93.26959
S125,7/6/2018,25242,Basilica Block Party 2018,WB 94 from dwtn,44.99888,-93.28266
S137,7/6/2018,31014,Basilica Block Party 2018,EB 94 to dwtn,44.99898,-93.28297
S2,7/6/2018,0,Basilica Block Party 2018,SB 35W from dwtn,44.96259,-93.26997
S285,7/6/2018,62951,Basilica Block Party 2018,WB 394 from dwtn,44.97002,-93.30761
S286,7/6/2018,63321,Basilica Block Party 2018,EB 394 to dwtn,44.96977,-93.30786
S553,7/6/2018,65544,Basilica Block Party 2018,WB 94 to dwtn,44.96436,-93.23804
S554,7/6/2018,70789,Basilica Block Party 2018,EB 94 from dwtn,44.96422,-93.23944
S569,7/6/2018,61320,Basilica Block Party 2018,NB 35W from dwtn,44.99116,-93.23629
S582,7/6/2018,59476,Basilica Block Party 2018,SB 35W to dwtn,44.99115,-93.23659
S64,7/6/2018,0,Basilica Block Party 2018,NB 35W to dwtn,44.96239,-93.26959
S125,3/29/2018,38549,2018 Twins Opener,WB 94 from dwtn,44.99888,-93.28266
S137,3/29/2018,41790,2018 Twins Opener,EB 94 to dwtn,44.99898,-93.28297
S2,3/29/2018,48561,2018 Twins Opener,SB 35W from dwtn,44.96259,-93.26997
S285,3/29/2018,70696,2018 Twins Opener,WB 394 from dwtn,44.97002,-93.30761
S286,3/29/2018,65139,2018 Twins Opener,EB 394 to dwtn,44.96977,-93.30786
S553,3/29/2018,76961,2018 Twins Opener,WB 94 to dwtn,44.96436,-93.23804
S554,3/29/2018,78710,2018 Twins Opener,EB 94 from dwtn,44.96422,-93.23944
S569,3/29/2018,69015,2018 Twins Opener,NB 35W from dwtn,44.99116,-93.23629
S582,3/29/2018,71788,2018 Twins Opener,SB 35W to dwtn,44.99115,-93.23659
S64,3/29/2018,42685,2018 Twins Opener,NB 35W to dwtn,44.96239,-93.26959
S125,2/4/2018,23119,Super Bowl,WB 94 from dwtn,44.99888,-93.28266
S137,2/4/2018,23889,Super Bowl,EB 94 to dwtn,44.99898,-93.28297
S2,2/4/2018,40015,Super Bowl,SB 35W from dwtn,44.96259,-93.26997
S285,2/4/2018,42013,Super Bowl,WB 394 from dwtn,44.97002,-93.30761
S286,2/4/2018,39796,Super Bowl,EB 394 to dwtn,44.96977,-93.30786
S553,2/4/2018,45282,Super Bowl,WB 94 to dwtn,44.96436,-93.23804
S554,2/4/2018,43300,Super Bowl,EB 94 from dwtn,44.96422,-93.23944
S569,2/4/2018,36849,Super Bowl,NB 35W from dwtn,44.99116,-93.23629
S582,2/4/2018,39370,Super Bowl,SB 35W to dwtn,44.99115,-93.23659
S64,2/4/2018,33584,Super Bowl,NB 35W to dwtn,44.96239,-93.26959
S125,12/31/2017,23930,Vikings & New Years Eve,WB 94 from dwtn,44.99888,-93.28266
S137,12/31/2017,25404,Vikings & New Years Eve,EB 94 to dwtn,44.99898,-93.28297
S2,12/31/2017,34825,Vikings & New Years Eve,SB 35W from dwtn,44.96259,-93.26997
S285,12/31/2017,38610,Vikings & New Years Eve,WB 394 from dwtn,44.97002,-93.30761
S286,12/31/2017,43043,Vikings & New Years Eve,EB 394 to dwtn,44.96977,-93.30786
S553,12/31/2017,47694,Vikings & New Years Eve,WB 94 to dwtn,44.96436,-93.23804
S554,12/31/2017,45208,Vikings & New Years Eve,EB 94 from dwtn,44.96422,-93.23944
S569,12/31/2017,38784,Vikings & New Years Eve,NB 35W from dwtn,44.99116,-93.23629
S582,12/31/2017,42819,Vikings & New Years Eve,SB 35W to dwtn,44.99115,-93.23659
S64,12/31/2017,32626,Vikings & New Years Eve,NB 35W to dwtn,44.96239,-93.26959
S125,10/15/2017,28521,Packers at Vikings,WB 94 from dwtn,44.99888,-93.28266
S137,10/15/2017,28958,Packers at Vikings,EB 94 to dwtn,44.99898,-93.28297
S2,10/15/2017,37519,Packers at Vikings,SB 35W from dwtn,44.96259,-93.26997
S285,10/15/2017,47075,Packers at Vikings,WB 394 from dwtn,44.97002,-93.30761
S286,10/15/2017,48752,Packers at Vikings,EB 394 to dwtn,44.96977,-93.30786
S553,10/15/2017,57976,Packers at Vikings,WB 94 to dwtn,44.96436,-93.23804
S554,10/15/2017,57503,Packers at Vikings,EB 94 from dwtn,44.96422,-93.23944
S569,10/15/2017,51478,Packers at Vikings,NB 35W from dwtn,44.99116,-93.23629
S582,10/15/2017,53712,Packers at Vikings,SB 35W to dwtn,44.99115,-93.23659
S64,10/15/2017,33427,Packers at Vikings,NB 35W to dwtn,44.96239,-93.26959
S125,10/4/2017,36166,October Wed 2017,WB 94 from dwtn,44.99888,-93.28266
S137,10/4/2017,38583,October Wed 2017,EB 94 to dwtn,44.99898,-93.28297
S2,10/4/2017,45390,October Wed 2017,SB 35W from dwtn,44.96259,-93.26997
S285,10/4/2017,72730,October Wed 2017,WB 394 from dwtn,44.97002,-93.30761
S286,10/4/2017,64781,October Wed 2017,EB 394 to dwtn,44.96977,-93.30786
S553,10/4/2017,77634,October Wed 2017,WB 94 to dwtn,44.96436,-93.23804
S554,10/4/2017,78627,October Wed 2017,EB 94 from dwtn,44.96422,-93.23944
S569,10/4/2017,69519,October Wed 2017,NB 35W from dwtn,44.99116,-93.23629
S582,10/4/2017,71662,October Wed 2017,SB 35W to dwtn,44.99115,-93.23659
S64,10/4/2017,41156,October Wed 2017,NB 35W to dwtn,44.96239,-93.26959
S125,10/5/2016,43793,October Wed 2017,WB 94 from dwtn,44.99888,-93.28266
S137,10/5/2016,43771,October Wed 2017,EB 94 to dwtn,44.99898,-93.28297
S2,10/5/2016,50585,October Wed 2016,SB 35W from dwtn,44.96259,-93.26997
S285,10/5/2016,72890,October Wed 2016,WB 394 from dwtn,44.97002,-93.30761
S286,10/5/2016,62262,October Wed 2016,EB 394 to dwtn,44.96977,-93.30786
S553,10/5/2016,77556,October Wed 2016,WB 94 to dwtn,44.96436,-93.23804
S554,10/5/2016,79776,October Wed 2016,EB 94 from dwtn,44.96422,-93.23944
S569,10/5/2016,69764,October Wed 2016,NB 35W from dwtn,44.99116,-93.23629
S582,10/5/2016,70740,October Wed 2016,SB 35W to dwtn,44.99115,-93.23659
S64,10/5/2016,49146,October Wed 2016,NB 35W to dwtn,44.96239,-93.26959
S125,8/19/2016,44617,US Bank 1st Concert,WB 94 from dwtn,44.99888,-93.28266
S137,8/19/2016,46780,US Bank 1st Concert,EB 94 to dwtn,44.99898,-93.28297
S2,8/19/2016,52966,US Bank 1st Concert,SB 35W from dwtn,44.96259,-93.26997
S285,8/19/2016,69939,US Bank 1st Concert,WB 394 from dwtn,44.97002,-93.30761
S286,8/19/2016,64944,US Bank 1st Concert,EB 394 to dwtn,44.96977,-93.30786
S553,8/19/2016,79536,US Bank 1st Concert,WB 94 to dwtn,44.96436,-93.23804
S554,8/19/2016,81195,US Bank 1st Concert,EB 94 from dwtn,44.96422,-93.23944
S569,8/19/2016,73534,US Bank 1st Concert,NB 35W from dwtn,44.99116,-93.23629
S582,8/19/2016,75769,US Bank 1st Concert,SB 35W to dwtn,44.99115,-93.23659
S64,8/19/2016,52247,US Bank 1st Concert,NB 35W to dwtn,44.96239,-93.26959
S125,10/7/2015,36472,October Wed 2015,WB 94 from dwtn,44.99888,-93.28266
S137,10/7/2015,45761,October Wed 2015,EB 94 to dwtn,44.99898,-93.28297
S2,10/7/2015,51682,October Wed 2015,SB 35W from dwtn,44.96259,-93.26997
S285,10/7/2015,0,October Wed 2015,WB 394 from dwtn,44.97002,-93.30761
S286,10/7/2015,0,October Wed 2015,EB 394 to dwtn,44.96977,-93.30786
S553,10/7/2015,73749,October Wed 2015,WB 94 to dwtn,44.96436,-93.23804
S554,10/7/2015,78710,October Wed 2015,EB 94 from dwtn,44.96422,-93.23944
S569,10/7/2015,0,October Wed 2015,NB 35W from dwtn,44.99116,-93.23629
S582,10/7/2015,0,October Wed 2015,SB 35W to dwtn,44.99115,-93.23659
S64,10/7/2015,50902,October Wed 2015,NB 35W to dwtn,44.96239,-93.26959
S125,10/1/2014,41962,October Wed 2014,WB 94 from dwtn,44.99888,-93.28266
S137,10/1/2014,43865,October Wed 2014,EB 94 to dwtn,44.99898,-93.28297
S2,10/1/2014,47217,October Wed 2014,SB 35W from dwtn,44.96259,-93.26997
S285,10/1/2014,73063,October Wed 2014,WB 394 from dwtn,44.97002,-93.30761
S286,10/1/2014,64398,October Wed 2014,EB 394 to dwtn,44.96977,-93.30786
S553,10/1/2014,74646,October Wed 2014,WB 94 to dwtn,44.96436,-93.23804
S554,10/1/2014,76355,October Wed 2014,EB 94 from dwtn,44.96422,-93.23944
S569,10/1/2014,5,October Wed 2014,NB 35W from dwtn,44.99116,-93.23629
S582,10/1/2014,48084,October Wed 2014,SB 35W to dwtn,44.99115,-93.23659
S64,10/1/2014,46598,October Wed 2014,NB 35W to dwtn,44.96239,-93.26959
