,Label,Detectors,Lat,Lng
-121,46.74828,-92.14647
1,I-35 NB @ Oredocks,C35-123,46.75367,-92.13626
2,I-35 NB @ 29th Ave W,C35-125,46.75718,-92.1305
3,T.H.55 WB @ Winnetka Ave,C5530,44.98319,-93.38063
4,T.H.55 WB @ Douglas Dr,C5533,44.98517,-93.36002
5,T.H.10 WB (Royalton),C30079,45.83383,-94.29713
6,I-35 NB @ 22nd Ave W,C35-132,46.76284,-92.12503
7,I-35 SB @ T.H.53,C35-136,46.76536,-92.12406
8,I-35 SB @ 22nd Ave W,C35-131,46.76302,-92.12559
9,T.H.169 NB N of T.H.41,C30061,44.77227,-93.56966
10,I-35 SB @ Lemond Rd,D6-C130,44.07152,-93.25606
11,I-35 NB @ U.S.14,D6-C131,44.05876,-93.24958
12,I-35 NB @ Central Ave,C35-100,46.73577,-92.16522
13,I-35,D6-C132,44.04093,-93.24848
14,I-35 (37.90),D6-C133,44.02639,-93.24663
15,I-35 (51.00),D6-C120,44.21312,-93.27404
16,T.H.55 WB @ Clydesdale Trail,C5520,45.04418,-93.53251
17,I-35 @ Co Rd 34,D6-C127,44.11016,-93.24588
18,I-35 S of Hoffman Dr,D6-C128,44.09264,-93.24445
19,I-35 @ Co Rd 9,D6-C125,44.13852,-93.24925
20,I-35 @ Co Rd 12,D6-C123,44.17324,-93.26273
21,T.H.55 WB @ Industrial Park Blvd,C5523,45.00265,-93.44468
22,I-35 (46.50),D6-C124,44.15039,-93.2571
23,I-35 (50.00),D6-C121,44.19875,-93.2553
24,T.H.55 WB @ W Medicine Lake Dr,C5525,44.98856,-93.42384
25,I-35 (49.00),D6-C122,44.18611,-93.25581
26,I-35 SB @ Bridge St,D6-C129,44.08432,-93.24724
27,I-35 NB (55.60),D6-C116,44.27583,-93.29767
28,I-35 SB (54.00),D6-C117,44.25415,-93.28697
29,I-35 SB (56.90),D6-C114,44.29106,-93.30964
30,I-35 SB (56.40),D6-C115,44.28106,-93.30764
31,I-35 SB (58.70),D6-C112,44.31729,-93.30688
32,I-35 SB (57.90),D6-C113,44.3043,-93.30977
33,I-35 NB (60.00),D6-C110,44.33251,-93.29303
34,I-35 NB (59.20),D6-C111,44.32078,-93.29914
35,I-35 NB (53.00),D6-C118,44.24056,-93.2807
36,I-35 SB (52.00),D6-C119,44.22559,-93.277
37,I-90 WB @ U.S.61,D6-C340,43.85737,-91.30381
38,I-35 NB @ 9th Ave W,C35-177,46.7786,-92.10449
39,I-35 SB @ Allworth Bldg,C35-179,46.78345,-92.10182
40,I-35 SB (63.30),D6-C105,44.38111,-93.29528
41,I-35 NB (63.20),D6-C106,44.37987,-93.29271
42,I-35 NB (64.70),D6-C103,44.39984,-93.29246
43,I-35 NB (64.00),D6-C104,44.39055,-93.29236
44,I-35 NB (66.70),D6-C101,44.42878,-93.29193
45,I-35 NB (65.70),D6-C102,44.41383,-93.29226
46,U.S.61 NB S of I-90,D6-C341,43.85304,-91.30078
47,I-35 NB (68.10),D6-C100,44.44806,-93.29158
48,I-35 SB (61.10),D6-C109,44.34824,-93.29306
49,I-35 NB (62.60),D6-C107,44.37079,-93.29306
50,I-35 NB (62.00),D6-C108,44.35719,-93.29272
51,I-394 EB @ Hampshire Ave,C909,44.97115,-93.3652
52,T.H.62 WB @ Dodd Rd,C1115,44.8841,-93.12489
53,I-394 EB @ Winnetka Ave,C908,44.9711,-93.3791
54,I-394 EB @ General Mills Blvd,C907,44.97359,-93.38919
55,I-394 EB @ U.S.169 SB,C906,44.97283,-93.40089
56,I-394 EB @ Co Rd 73,C905,44.97059,-93.42085
57,West River St SB,C1110,44.97774,-93.24739
58,I-394 WB @ Plymouth Rd,C904,44.97124,-93.43985
59,I-394 EB @ I-494 SB,C903,44.97062,-93.46084
60,U.S.12 EB @ Co Rd 15,C902,44.9708,-93.48348
61,U.S.12 WB @ Central Ave,C901,44.97657,-93.50177
62,T.H.62 EB @ Mendota Rd,C1117,44.8822,-93.09121
63,T.H.62 EB @ Delaware Ave,C1116,44.88302,-93.10686
64,U.S.61 NB N of I-90,D6-C338,43.86663,-91.31208
65,U.S.61 SB @ I-90,D6-C339,43.858,-91.30677
66,I-394 EB @ Louisiana Ave,C9081,44.97089,-93.37091
67,I-394 WB @ Glenwood Ave,C919,44.97838,-93.28122
68,I-394 EB @ I-94 SB,C918,44.97449,-93.28826
69,I-394 WB @ I-94,C917,44.97524,-93.28826
70,I-394 EB @ Dunwoody Blvd,C916,44.96926,-93.30185
71,I-394 EB @ Wirth Pkwy,C914,44.96999,-93.32398
72,I-394 EB @ France Ave,C913,44.96991,-93.32773
73,I-394 WB @ T.H.100,C912,44.97122,-93.34042
74,I-394 EB W of T.H.100,C911,44.97014,-93.34288
75,I-394 EB @ Xenia Ave,C910,44.97002,-93.35132
76,T.H.52 SB S of 100th St NW,D6-C001a,44.13435,-92.52559
77,I-394 EB @ 7th St,C920,44.98031,-93.2765
78,6th Ave NB,C1109,44.97938,-93.24297
79,I-394 WB W of Winnetka Ave,C9071,44.9731,-93.38321
80,T.H.13 EB @ Co Rd 5,C1313,44.77234,-93.30509
81,T.H.53 NB (N END VIRGINIA BRIDGE),C30019,47.51554,-92.52616
82,T.H.13 EB @ Nicollet Ave,C1312,44.77736,-93.27792
83,I-35 SB @ 6th Ave E,C35-188,46.79322,-92.09091
84,I-694 EB @ Victoria St,C709,45.05582,-93.1317
85,T.H.13 WB @ Portland Ave,C1311,44.7815,-93.26722
86,I-694 EB @ Lexington Ave,C708,45.05931,-93.14733
87,T.H.13 EB @ Parkwood Dr,C1310,44.78388,-93.25588
88,I-694 NB @ T.H.10,C707,45.0664,-93.16665
89,I-694 EB @ I-35W NB,C706,45.06673,-93.1839
90,I-694 WB @ 5th Ave,C705,45.0669,-93.19308
91,I-694 EB @ Silver Lake Rd,C704,45.06415,-93.2186
92,I-694 EB @ T.H.65,C703,45.06671,-93.24308
93,T.H.63 SB @ Tyrol Lane SE,C30012,43.92915,-92.47226
94,I-694 EB @ Main St,C702,45.06909,-93.268
95,T.H.63 SB @ C.S.A.H.16 EB,C30011,43.91689,-92.47772
96,T.H.63 SB @ 48th St EB,C30014,43.95289,-92.4688
97,I-694 WB @ T.H.252,C701,45.07006,-93.28832
98,T.H.13 SB @ 126th St,C1318,44.77546,-93.37834
99,I-35 SB @ Lake Ave,C35-182,46.78649,-92.09717
100,T.H.63 NB @ Quarve Rd SE,C30013,43.93955,-92.4652
101,T.H.13 EB @ T.H.101,C1317,44.77928,-93.37792
102,T.H.371 NB @ Co Rd 16 WB,C30016,46.63144,-94.32497
103,T.H.13 WB @ Quentin Ave,C1316,44.77942,-93.34376
104,T.H.63 NB @ 40th St EB,C30015,43.9636,-92.46306
105,T.H.53 (S END VIRGINIA BRIDGE),C30018,47.51605,-92.52187
106,T.H.13 WB @ Lynn Ave,C1315,44.77883,-93.33545
107,I-35 NB @ Lake Pl,C35-185,46.78966,-92.09279
108,T.H.55 EB @ T.H.25 NB,C30017,45.18177,-93.87591
109,T.H.13 WB @ Washburn Ave S,C1314,44.7755,-93.31852
110,T.H.63 SB S of 80th St,C30010,43.90612,-92.48159
111,T.H.63 SB @ T.H.30,C30009,43.89215,-92.48682
112,T.H.13 @ South Park Drive,C1324,44.74216,-93.38002
113,T.H.13 SB @ Egan Dr,C1323,44.74635,-93.37924
114,T.H.63 SB @ I-90 EB,C30008,43.88464,-92.4884
115,T.H.13 NB @ Connelly Pkwy,C1322,44.7498,-93.37942
116,I-694 WB @ T.H.36 WB,C719,45.03016,-92.96216
117,T.H.13 SB @ McColl Drive,C1321,44.76077,-93.37937
118,I-694 WB @ Century Ave,C718,45.03481,-92.98417
119,I-694 WB @ McKnight Rd,C717,45.03663,-93.00225
120,I-694 WB @ White Bear Ave,C716,45.03752,-93.01813
121,I-694 EB @ T.H.61,C715,45.03731,-93.04303
122,T.H.210 WB @ 4th St NB,C30001,46.35769,-94.21608
123,I-694 WB @ Labore Rd,C714,45.03727,-93.06431
124,I-694 WB @ Edgerton St,C713,45.03725,-93.07711
125,I-35 SB @ 10th Ave E,C35-191,46.79595,-92.086
126,T.H.210 EB @ T.H.371 NB,C30000,46.35157,-94.2438
127,I-694 EB @ I-35E,C712,45.03423,-93.0897
128,T.H.210 WB @ Gillis Ave. SB,C30003,46.35988,-94.18962
129,I-35 SB @ U.S.14,D6-C131a,44.0599,-93.25139
130,I-694 EB @ Rice St,C711,45.04271,-93.10463
131,I-35 NB (Leif Ericson Tunnel),C35-194,46.79744,-92.08197
132,T.H.371 SB @ Co Rd 77 EB,C30005,46.3854,-94.25845
133,I-694 WB W of Rice St,C710,45.05012,-93.11345
134,I-35 SB (Leif Ericson Tunnel),C35-195,46.79774,-92.08211
135,T.H.210 EB @ T.H.25 NB,C30004,46.36227,-94.17711
136,I-35E @ Pennsylvania Ave,C3501,44.96146,-93.09001
137,T.H.371 SB @ Co Rd 77 WB,C30007,46.50009,-94.29842
138,T.H.371 NB (Brainerd Raceway),C30006,46.4175,-94.28666
139,I-394 WB W of Shelard Pkwy,C9051,44.97344,-93.41031
140,T.H.55 WB @ Rockford Rd,C1533,45.02326,-93.49289
141,T.H.55 EB @ Peony Ln,C1532,45.03212,-93.50756
142,T.H.55 WB @ Sioux Tr,C1531,45.04377,-93.52519
143,T.H.55 EB @ Pinto Dr,C1530,45.04575,-93.54229
144,T.H.75 SB @ 24th Ave,C75-04,46.85101,-96.76858
145,T.H.75 SB @ 20th Ave,C75-05,46.85471,-96.76853
146,T.H.75 SB @ 12th Ave,C75-06,46.8619,-96.76836
147,I-694 NB @ 10th St,C725,44.96311,-92.95783
148,I-94 EB (Enfield Rest Area),C30034,45.35001,-93.9062
149,I-94 EB (Enfield Rest Area),C30033,45.35021,-93.90671
150,I-694 NB @ 15th St N,C724,44.97038,-92.95832
151,I-694 SB @ Stillwater Blvd,C723,44.98724,-92.96102
152,T.H.55 EB @ South Shore Dr,C1539,44.98771,-93.41971
153,I-94 EB (Elm Creek Rest Area),C30036,45.11107,-93.47285
154,T.H.55 EB @ Co Rd 6,C1538,44.99901,-93.44238
155,I-694 NB @ Co Rd 14,C722,44.998,-92.95894
156,I-94 EB (Enfield Rest Area),C30035,45.34982,-93.90567
157,I-94 EB @ St. Croix RA,C30038,44.95091,-92.82248
158,I-694 NB @ 40th St,C721,45.00674,-92.9574
159,T.H.55 WB @ Xenium Ln,C1537,45.00876,-93.45088
160,I-94 EB (Elm Creek Rest Area),C30037,45.11092,-93.47253
161,I-694 NB @ 50th St,C720,45.01874,-92.95864
162,T.H.55 EB @ Fernbrook Ln,C1535,45.01151,-93.46118
163,I-94 EB @ St. Croix RA,C30039,44.95052,-92.82118
164,T.H.55 EB @ Vicksburg Ln,C1534,45.01804,-93.48125
165,I-94 EB (Big Spunk Rest Area),C30030,45.60382,-94.48407
166,I-94 EB (Big Spunk Rest Area),C30032,45.60352,-94.48287
167,I-94 EB (Big Spunk Rest Area),C30031,45.60369,-94.48344
168,T.H.75 NB @ 40th Ave,C75-01,46.8334,-96.76721
169,T.H.75 SB @ I-94,C75-02,46.84605,-96.76858
170,T.H.75 NB @ I-94,C75-03,46.84843,-96.76746
171,T.H.55 WB @ Schaper Rd,C1544,44.98453,-93.34252
172,T.H.13 @ Mendota Heights Rd,C1301,44.86613,-93.17253
173,T.H.55 WB @ Glenwood Ave,C1543,44.98282,-93.37043
174,T.H.13 @ Pilot Knob Rd,C1300,44.87223,-93.16736
175,T.H.55 EB @ Rhode Island Ave,C1542,44.98295,-93.37711
176,T.H.55 WB @ Boone Ave,C1541,44.98481,-93.39072
177,T.H.55 WB @ Revere Ln,C1540,44.98387,-93.41094
178,T.H.13 WB @ Co Rd 11,C1309,44.78804,-93.24756
179,T.H.13 NB @ Cliff Rd,C1308,44.79022,-93.24272
180,T.H.13 WB @ River Hills Dr,C1307,44.80212,-93.23257
181,T.H.13 EB @ Diffley Rd,C1306,44.80478,-93.22855
182,T.H.13 EB @ Silver Bell Rd,C1305,44.82054,-93.20778
183,T.H.55 WB @ Theodore Wirth Pkwy,C1546,44.9846,-93.32845
184,I-94 EB (Lake Latoka Rest Area),C30029,45.86806,-95.44997
185,T.H.13 EB @ Blackhawk Rd,C1304,44.8276,-93.19892
186,T.H.13 EB @ Yankee Doodle Rd,C1303,44.83378,-93.1911
187,T.H.55 WB @ Meadow Ln,C1545,44.98451,-93.33145
188,I-94 EB (Lake Latoka Rest Area),C30028,45.86821,-95.45041
189,I-94 EB @ Shingle Creek Pkwy,C8181,45.07038,-93.30798
190,T.H.15 @ Co Rd 120,C1511,45.58641,-94.20085
191,T.H.77 SB @ Minnesota River,C509,44.82414,-93.22748
192,T.H.77 SB @ T.H.13,C508,44.81542,-93.22202
193,T.H.77 SB @ Diffley Rd,C507,44.80525,-93.22152
194,T.H.77 SB @ Cliff Rd,C506,44.79039,-93.22231
195,T.H.77 SB @ I-35E,C505,44.77906,-93.2178
196,T.H.77 SB @ 127th St,C504,44.766,-93.21808
197,T.H.77 SB @ Co Rd 38,C503,44.75997,-93.21841
198,T.H.25 @ Co Rd 75,C1514,45.30559,-93.79384
199,@ Larpenteur Ave,C9001,44.99752,-93.08098
200,I-35 SB @ Co Rd 61,C9004,45.34635,-93.00305
201,I-394 WB E of Theodore Wirth Pkwy,C9002,44.97053,-93.31895
202,I-394 WB @ Penn Ave,C9003,44.97021,-93.30779
203,T.H.194 WB @ 2nd Ave W,C194-211,46.78886,-92.10668
204,T.H.55 EB @ Arrowhead Dr,C1529,45.0513,-93.56366
205,I-35 EB (Heath Creek Rest Area),C30044,44.44818,-93.29044
206,@ Larpenteur Ave,C9006,44.99506,-93.08716
207,T.H.62 EB @ T.H.77,C513,44.89531,-93.24761
208,T.H.77 NB @ 66th St,C512,44.88342,-93.24655
209,T.H.77 SB @ 84th St,C511,44.85498,-93.24756
210,U.S.12 (Dassel/Cokato),C995,45.08152,-94.24432
211,T.H.77 SB @ Old Shakopee Rd,C510,44.83986,-93.24493
212,I-35 SB (Forest Lake Rest Area),C30041,45.27002,-93.0093
213,I-94 EB @ St. Croix RA,C30040,44.95021,-92.82086
214,I-35 EB (Heath Creek Rest Area),C30043,44.44816,-93.28977
215,I-35 SB (Forest Lake Rest Area),C30042,45.2703,-93.00917
216,I-694 @ Snelling Ave,C7071,45.06336,-93.15724
217,T.H.61 NB @ Co Rd J,C1731,45.12352,-93.00293
218,T.H.61 NB @ Buffalo St,C1730,45.10485,-92.99957
219,I-94 EB E of Opportunity Dr,C768,45.44707,-94.12092
220,I-94 EB @ Opportunity Dr,C767,45.46422,-94.13127
221,I-94 WB E of Co Rd 75,C766,45.47627,-94.13679
222,I-94 EB W of T.H.27,C9466,45.872,-95.46114
223,T.H.65 NB @ Crosstown Blvd,C1500,45.28819,-93.23381
224,T.H.7 EB @ 12th Ave,C7049,44.93321,-93.41469
225,T.H.23 EB @ 5th Ave,C1506,45.55921,-94.1563
226,I-94 EB E of Co Rd 8 1 Mile,C778,45.36185,-93.95153
227,T.H.15 N of 3rd St,C1505,45.56211,-94.20531
228,I-94 EB @ Co Rd 8,C777,45.36756,-93.97376
229,T.H.15 NB @ 2nd St,C1504,45.54993,-94.20556
230,I-94 EB W of Co Rd 8 1 Mile,C776,45.37397,-93.99411
231,T.H.65 NB @ C.S.A.H.24,C1503,45.39907,-93.23436
232,I-94 EB W of Co Rd 8 2 Miles,C775,45.38451,-94.01028
233,T.H.65 NS @ 213th Ave,C1502,45.35636,-93.23595
234,I-94 EB E of T.H.24 2 Miles,C774,45.39288,-94.02344
235,I-94 EB E of T.H.24 1 Mile,C773,45.40031,-94.03839
236,T.H.65 NS @ Viking Blvd,C1501,45.31981,-93.23528
237,I-94 WB @ T.H.24,C772,45.41206,-94.05675
238,I-94 EB W of T.H.24 1 Mile,C771,45.42254,-94.08276
239,T.H.7 EB @ Texas Ave,C7054,44.93659,-93.38085
240,I-94 EB W of T.H.24 2 Miles,C770,45.42896,-94.0964
241,I-94 WB @ Huron St,C8381,44.96745,-93.22019
242,I-94 EB W of U.S.59,C9438,46.23167,-96.04992
243,T.H.61 SB @ Co Rd D,C1716,45.0315,-93.04588
244,T.H.61 SB @ Beam Ave,C1715,45.02824,-93.04699
245,T.H.61 NB @ Co Rd C,C1714,45.02101,-93.0508
246,I-94 EB @ Co Rd 18,C788,45.28902,-93.76273
247,I-94 EB E of T.H.25,C787,45.29158,-93.77577
248,T.H.61 NB @ Co Rd B,C1713,45.008,-93.05685
249,I-94 EB @ T.H.25,C786,45.29788,-93.80044
250,T.H.61 NB @ Roselawn Ave,C1712,44.99923,-93.06561
251,I-94 EB W of T.H.25 1 Mile,C785,45.30465,-93.81852
252,T.H.61 SB @ Frost Ave,C1711,44.99461,-93.06643
253,I-94 EB W of T.H. 25 2 Miles,C784,45.32083,-93.8434
254,I-94 WB W of T.H.25 3 Miles,C783,45.3281,-93.84873
255,I-94 EW @ Park Ave,C8351,44.96633,-93.26469
256,I-94 EB @ 11th Ave,C8352,44.96518,-93.25884
257,I-94 EB W of T.H.25 5 Miles,C782,45.33959,-93.88028
258,I-94 WB E of Co Rd 8 4 Miles,C781,45.35179,-93.90409
259,I-94 WB E of Portland Ave,C8350,44.96633,-93.26638
260,I-94 EB E of Co Rd 8 2 Miles,C780,45.35542,-93.93131
261,T.H.61 NB @ Buerkle Rd,C1719,45.04127,-93.03926
262,I-94 EB @ T.H.55,C8353,44.96553,-93.25319
263,T.H.61 NB @ Willow Lake Rd,C1720,45.04679,-93.03678
264,U.S.169 NB @ Pioneer Trail,C319,44.819,-93.39781
265,T.H.61 NB @ 7th St,C1728,45.08854,-93.00768
266,U.S.169 NB @ Old Shakopee Rd,C318,44.80776,-93.39792
267,T.H.52 SB @ Concord St,C559,44.92809,-93.07051
268,T.H.61 SB @ 4th St,C1727,45.08534,-93.00985
269,U.S.169 NB @ T.H.101,C317,44.78952,-93.40539
270,Co Rd 101 EB E of U.S.169,C316,44.78544,-93.40216
271,T.H.52 NB N of Butler Ave,C558,44.91728,-93.06342
272,T.H.61 NB @ 2nd St,C1726,45.08322,-93.01156
273,I-94 WB @ T.H.241,C799,45.21831,-93.59507
274,T.H.61 SB @ Co Rd 96,C1725,45.07913,-93.01579
275,T.H.52 NB @ Butler Ave,C557,44.91216,-93.06394
276,U.S.169 NB @ Co Rd 21,C315,44.78563,-93.41416
277,T.H.52 NB @ Thompson Ave,C556,44.90138,-93.06529
278,T.H.61 SB @ White Bear Ave,C1724,45.07352,-93.02008
279,I-94 WB W of T.H.241,C798,45.22368,-93.60563
280,U.S.169 NB S of Co Rd 21,C314,44.78321,-93.42276
281,I-94 WB E of Co Rd 37,C797,45.22984,-93.62555
282,T.H.52 SB @ Southview Blvd,C555,44.88716,-93.06603
283,T.H.61 NB @ Co Rd F,C1723,45.06463,-93.0246
284,U.S.169 NB E of Co Rd 83,C313,44.78295,-93.45002
285,T.H.61 SB @ Cedar Ave,C1722,45.0583,-93.02923
286,U.S.169 NB @ Canterbury Rd,C312,44.78191,-93.46778
287,I-94 EB @ Co Rd 37,C796,45.23784,-93.64949
288,T.H.52 NB @ I-494,C554,44.87418,-93.06034
289,T.H.52 NB @ Upper 55th St,C553,44.86536,-93.05919
290,I-94 EB @ Co Rd 19,C795,45.2406,-93.6624
291,T.H.61 NB @ Co Rd E,C1721,45.04988,-93.03581
292,I-94 WB (E Jct MnROAD),C794,45.25168,-93.68803
293,T.H.52 NB @ 70th St,C552,44.84801,-93.05893
294,I-94 WB (MnROAD),C793,45.25886,-93.70024
295,T.H.52 SB @ 80th St,C551,44.83358,-93.06035
296,T.H.52 SB @ T.H.55,C550,44.8244,-93.05883
297,I-94 WB (W Jct MnROAD),C792,45.26586,-93.71294
298,T.H.2 WB (Bong Bridge),C2-215,46.72782,-92.13402
299,I-94 EB W of T.H.79,C9450,46.00765,-95.75511
300,I-94 WB E of Co Rd 18 3 Miles,C791,45.27403,-93.7307
301,T.H.2,C2-216,46.72091,-92.11861
302,I-94 EB @ Riverside Ave,C8361,44.96389,-93.23331
303,I-94 WB E of Co Rd 18 2 Miles,C790,45.28762,-93.75415
304,T.H.61 NB @ T.H.96,C1729,45.09345,-93.006
305,I-94 WB E of T.H.79,C9454,45.99203,-95.71751
306,T.H.7 WB @ Vine Hill Road,C7035,44.9108,-93.52576
307,I-94 EW S of I-694,C-M-94-225.12,45.06569,-93.28616
308,I-35W NS @ 46th St,C6181,44.91826,-93.27522
309,U.S.169 NB @ T.H.55,C329,44.98274,-93.39974
310,U.S.169 NB @ Cedar Lake Rd,C328,44.95482,-93.40053
311,U.S.169 SB @ Minnetonka Blvd,C327,44.94546,-93.40074
312,I-94 WB E of T.H.34,C9414,46.64633,-96.3815
313,U.S.169 NB @ T.H.7,C326,44.9344,-93.39625
314,U.S.169 SB @ 7th St,C325,44.91359,-93.40163
315,U.S.169 SB @ Bren Rd,C324,44.89879,-93.40189
316,U.S.169 SB @ Valley View Rd,C323,44.8731,-93.39714
317,U.S.169 SB @ I-494 WB,C322,44.86059,-93.39581
318,U.S.169 NB @ Anderson Lakes S Bri,C321,44.84479,-93.39834
319,T.H.52 NB @ I-94 WB,C562,44.95341,-93.07956
320,U.S.169 NB @ Anderson Lakes Pkwy,C320,44.83704,-93.39801
321,T.H.52 NB @ Plato Blvd,C561,44.94017,-93.0755
322,T.H.52 NB @ Eaton St,C560,44.93323,-93.07169
323,I-94 EB W of Co Rd 11,C9422,46.50089,-96.29181
324,T.H.7 WB @ 5th Ave,C7000,44.93396,-93.4061
325,I-94 WB @ 1st Ave,C8331,44.9671,-93.27563
326,I-94 WB E of Co Rd 24,C9426,46.46969,-96.26109
327,U.S.169 NB @ 93rd Ave,C339,45.11921,-93.38774
328,U.S.169 SB @ Co Rd 81,C338,45.10575,-93.39424
329,U.S.169 SB @ 77th Ave,C337,45.0947,-93.40306
330,U.S.169 SB @ 63rd Ave,C336,45.06942,-93.40146
331,U.S.169 SB @ Bass Lake Rd,C335,45.0578,-93.4013
332,U.S.169 SB @ 49th Ave,C334,45.04403,-93.40128
333,U.S.169 SB @ Rockford Rd,C333,45.0335,-93.40123
334,U.S.169 SB @ 36th Ave,C332,45.02216,-93.40122
335,I-35W NS @ 58th St,C6161,44.89897,-93.27519
336,T.H.77 S of T.H.13,C5071,44.81246,-93.21859
337,U.S.169 SB @ Medicine Lake Rd,C331,45.00739,-93.40136
338,U.S.169 SB @ Plymouth Ave,C330,44.99254,-93.40096
339,I-694 WB @ T.H.252,C7011,45.07002,-93.28551
340,T.H.62 WB @ Bloomington Ave,C109,44.8962,-93.251
